cz,Name,Household_Income_at_Age_35_rH_gM_p25
cz26003,West Cook UT,
cz34104,Bristol Bay,
cz29002,Coldwater,
cz30907,Matador,
cz34114,Unalaska,
cz26204,Steele,
cz26403,Bowman,
cz27012,Gettysburg,
cz39204,Condon,
cz37902,Reno,
cz26401,Ekalaka,
cz34309,Harlowton,
cz26203,Linton,
cz28602,Norton,
cz28606,Wano,
cz26302,Carrington,
cz28402,Limon,
cz27003,Ainsworth,
cz28703,Granby,
cz26804,Cooperstown,
cz29008,Center,
cz34604,Lusk,
cz34306,Jordan,
cz26202,East Grant UT,
cz3201,Jena,
cz29007,Township 11,
cz35803,McCall,
cz28601,Oberlin,
cz26405,Scobey,
cz39202,Enterprise,
cz26407,Plentywood,
cz35905,Loa,
cz27604,Murdo,
cz28501,Springfield,
cz28303,Oshkosh,
