cz,Name,Household_Income_at_Age_35_rW_gM_p25
cz12702,Maysville,30673
cz6000,Huntsville,30669
cz1203,Asheville,30635
cz401,Winston-Salem,30584
cz8502,Cordele,30581
cz20403,Oak Bluffs,30557
cz15900,Columbus,30549
cz6700,Tampa,30480
cz16901,Charleston,30441
cz7300,Palm Bay,30432
cz9600,LaGrange,30414
cz17000,Pikeville,30406
cz5201,New Albany,30372
cz20002,Calais,30322
cz14300,Columbus,30317
cz5500,Columbia,30290
cz402,Martinsville,30259
cz9001,Vidalia,30223
cz25702,Poplar Bluff,30167
cz6302,Cookeville,30137
cz39204,Condon,30077
cz6100,Gadsden,30070
cz500,Greensboro,30057
cz1301,Bennettsville,29977
cz8701,Hinesville,29966
cz7800,Ocala,29944
cz7600,Jacksonville,29853
cz1500,Wilmington,29813
cz1001,Boone,29807
cz14200,Indianapolis,29803
cz6501,Ellijay,29722
cz6401,Chattanooga,29645
cz17100,Huntington,29636
cz8602,Brunswick,29546
cz15800,Athens,29522
cz8201,Barnwell,29485
cz601,North Wilkesboro,29465
cz6402,Crossville,29443
cz4402,Richmond,29300
cz4501,West Liberty,29287
cz700,Spartanburg,29270
cz12502,Washington Court House,29226
cz301,Middlesborough,29197
cz6502,Cleveland,29165
cz8300,Greenville,29082
cz10000,Panama City,29078
cz1400,Fayetteville,28966
cz9200,Griffin,28900
cz6301,McMinnville,28882
cz602,Galax,28869
cz12903,Danville,28844
cz12902,Mount Sterling,28820
cz1702,Henderson,28683
cz9701,Columbus,28592
cz14000,Muncie,28516
cz4502,Hazard,28511
cz15700,Scioto,28461
cz12600,Wayne,28432
cz302,Knoxville,28377
cz6600,Rome,28222
cz12901,Lexington-Fayette,28095
cz4401,London,27938
cz4602,Somerset,27893
cz9002,Milledgeville,27816
cz100,Johnson City,27502
cz1002,Morganton,27495
cz1100,Hickory,27410
cz200,Morristown,27156
cz800,Gastonia,26994
cz34105,Kotzebue,
cz34101,Sand Point,
cz34104,Bristol Bay,
cz34114,Unalaska,
