cz,Name,Household_Income_at_Age_35_rB_gM_p25
cz38802,The Dalles,
cz39201,La Grande,
cz39205,John Day,
cz20402,Nantucket,
cz21202,Redwood Falls,
cz26303,Turtle Mountain UT,
cz26305,Rugby,
cz26404,Lemmon,
cz26410,Dickinson,
cz26411,Sidney,
cz26412,Williston,
cz27002,Ord,
cz27902,York,
cz28604,Colby,
cz28607,McCook,
cz29001,Pratt,
cz29102,Superior,
cz32503,Haskell,
cz34302,Worland,
cz34602,Rawlins,
cz36503,Lakeview,
cz37602,Winnemucca,
cz39301,Friday Harbor,
cz26604,Mobridge,
cz27010,Miller,
cz31003,Scott City,
cz27603,Southwest Jackson UT,
cz26408,Glasgow,
cz27004,Winner,
cz26406,Wolf Point,
cz34107,Dillingham,
cz26603,East Corson UT,
cz27704,Gordon,
cz27602,Eagle Butte,
cz34307,Colstrip,
cz34105,Kotzebue,
cz27009,Chamberlain,
cz34106,Nome,
cz34101,Sand Point,
cz34103,Valdez,
cz34108,Kodiak,
cz34113,Barrow,
cz26402,Baker,
cz31304,Mason,
cz26003,West Cook UT,
cz34104,Bristol Bay,
cz29002,Coldwater,
cz30907,Matador,
cz34114,Unalaska,
cz26204,Steele,
cz26403,Bowman,
cz27012,Gettysburg,
cz39204,Condon,
cz37902,Reno,
cz30905,Wellington,
cz26401,Ekalaka,
cz34309,Harlowton,
cz26203,Linton,
cz28602,Norton,
cz28606,Wano,
cz26302,Carrington,
cz28402,Limon,
cz27003,Ainsworth,
cz28703,Granby,
cz34501,Bonners Ferry,
cz26804,Cooperstown,
cz29008,Center,
cz34604,Lusk,
cz34306,Jordan,
cz26202,East Grant UT,
cz29007,Township 11,
cz28504,Burlington,
cz35803,McCall,
cz28601,Oberlin,
cz26405,Scobey,
cz32603,Seymour,
cz39202,Enterprise,
cz36303,Jackson,
cz26407,Plentywood,
cz35905,Loa,
cz27604,Murdo,
cz28501,Springfield,
cz37603,Portola,
cz28303,Oshkosh,
cz30702,Santa Rosa,
cz30605,Van Horn,
