cz,Name,Household_Income_at_Age_35_rW_gF_p25
cz1002,Morganton,31235
cz4502,Hazard,31223
cz4401,London,31219
cz4902,Dyersburg,31212
cz12502,Washington Court House,31076
cz12901,Lexington-Fayette,31061
cz6502,Cleveland,31050
cz301,Middlesborough,30961
cz8502,Cordele,30953
cz302,Knoxville,30779
cz1100,Hickory,30616
cz9701,Columbus,30561
cz25800,Blytheville,30479
cz4402,Richmond,30425
cz12903,Danville,30345
cz700,Spartanburg,30342
cz6600,Rome,30151
cz12902,Mount Sterling,30141
cz100,Johnson City,29715
cz15700,Scioto,29579
cz200,Morristown,29575
cz12600,Wayne,29431
cz14000,Muncie,29297
cz800,Gastonia,28833
cz34103,Valdez,26476
cz32303,Junction,26032
cz34106,Nome,16795
cz34105,Kotzebue,
cz34101,Sand Point,
cz34104,Bristol Bay,
cz30907,Matador,
cz34114,Unalaska,
cz34306,Jordan,
cz30605,Van Horn,
