tract,Name,Household_Income_at_Age_35_rW_gF_p25
48113013400,"North Dallas, Dallas, TX",73437
12086007902,"Miami, FL",73411
36047059600,"Kings County, NY",73378
36047059402,"Kings County, NY",73374
17031801300,"Wilmette, IL",73346
20091052411,"Water's Edge Of Wedgewood, Shawnee, KS",73332
48113013300,"North Dallas, Dallas, TX",73275
15003008412,"Ewa, Ewa Beach, HI",73270
27037060603,"Mendota Heights, MN",73260
6037800101,"Greater Mulwood, Calabasas, CA",73254
48201451200,"Briarforest, Houston, TX",73241
34027041901,"East Hanover, NJ",73233
9001081100,"Stratford, CT",73218
34027041200,"Mountain Lakes, NJ",73208
36047060000,"Kings County, NY",73206
34017013400,"East Newark, NJ",73202
8035014005,"Parker, CO",73200
36059518600,"Jericho, NY",73145
